State,Issuer ID,URL Submitted,Tech POC Email
AK,21989,https://www.modahealth.com/cms-data-index.json,jessica.wagner@modahealth.com
AK,38344,https://fm.formularynavigator.com/jsonFiles/publish/11/47/cms-data-index.json,jim.tedford@premera.com
AK,73836,https://www.modahealth.com/cms-data-index.json,jessica.wagner@modahealth.com
AK,74819,http://www.bestlife.com/exchange/cms-data-index.json,dpitman@bestlife.com
AL,12538,http://www.bestlife.com/exchange/cms-data-index.json,dpitman@bestlife.com
AL,44580,https://api.humana.com/v1/cms/index.json,pboulet@humana.com
AL,46944,https://www.bcbsal.org/cms/cms-data-index.json,HIMMachineReadableQuestions@bcbsal.org
AL,73301,https://s3.us-east-2.amazonaws.com/bhplan-cms-qhp/index.json,eng@brighthealthplan.com
AL,82285,https://www.deltadental.com/CMSDirectory/index.json,bhenderson@deltadental.com
AR,26904,http://www.bestlife.com/exchange/cms-data-index.json,dpitman@bestlife.com
AR,28348,https://www.deltadental.com/CMSDirectory/index.json,bhenderson@deltadental.com
AR,37903,https://provider-search.qualchoice.com/index.json,billy.white@qualchoice.com
AR,60559,https://www.dentegra.com/hcx/cms-data-index.json,#CMS-HIXBusinessNotification@delta.org
AR,62141,https://api.centene.com/ambetter/reference/cms-data-index.json,Jamie.M.Jordan@CENTENE.COM
AR,70525,https://provider-search.qualchoice.com/index.json,billy.white@qualchoice.com
AR,75293,https://secure.arkansasbluecross.com/doclib/QHP/index.json,SLWILLIAMS@arkbluecross.com
AZ,12303,https://www.dentaquest.com/getattachment/Marketplace/CMSDataIndex/cms-data-index.json,Elizabeth.Lund@greatdentalplans.com
AZ,17100,https://qa.www.assets.metlife.com/phoenix/public/json/metlife-data-index.json,bjvance@metlife.com
AZ,30045,https://www.deltadental.com/CMSDirectory/index.json,bhenderson@deltadental.com
AZ,33851,https://www.premierlife.com/secure/json/index.json,Balachandran_muthusamy@glic.com
AZ,53613,https://emihealth.com/services/providerdata/cms-data-index.json,gmartinez@emihealth.com
AZ,53901,https://azblue.com/JSON/Index.JSON,dsssuppo@azblue.com
AZ,58292,https://www.dentegra.com/hcx/cms-data-index.json,#CMS-HIXBusinessNotification@delta.org
AZ,66105,https://api.humana.com/v1/cms/index.json,pboulet@humana.com
AZ,77352,http://www.bestlife.com/exchange/cms-data-index.json,dpitman@bestlife.com
AZ,86830,http://www.cigna.com/sites/json/cms-data-index.json,ellen.hansen@cigna.com
AZ,91450,https://www.healthnet.com/static/hhs_az_json_20439/index.json,Janessa.S.Lopez@bridgewayhs.com
DE,26018,https://www.deltadental.com/CMSDirectory/index.json,bhenderson@deltadental.com
DE,67775,https://www.dominionnational.com/files/index.json,esliwka@dominionnational.com
DE,76168,https://www.pfpdata.com/cms-data/76168-de/76168-index.json,leonard.miller@highmark.com
FL,15833,http://mydental.guardianlife.com/secure/json/index.json,exchangeIT@premierlife.com
FL,15980,https://api.humana.com/v1/cms/index.json,pboulet@humana.com
FL,16842,http://www.bcbsfl.com/DocumentLibrary/Providers/cms/index.json,Alan.Voss1@bcbsfl.com
FL,21663,https://api.centene.com/ambetter/reference/cms-data-index.json,Jamie.M.Jordan@CENTENE.COM
FL,30115,https://www.floridabluedental.com/dental-json-beta/FL/cms-data-index.json,ggupta@lsvusa.com
FL,30252,http://www.bcbsfl.com/DocumentLibrary/Providers/cms/index.json,Alan.Voss1@bcbsfl.com
FL,36194,https://www.health-first.org/applications/dn/cms_json/index.json,Darren.Houle@Health-first.org
FL,43274,https://www.solsticebenefits.com/CMS/index.json,mmino@solsticebenefits.com
FL,48121,http://www.cigna.com/sites/json/cms-data-index.json,ellen.hansen@cigna.com
FL,48129,https://cmsdata.providers4you.com/cms-data-index.json,plan@renaissancefamily.com
FL,54172,http://stg-oh-medicaid.molinahealthcare.com/json/index.json,CMSJSONErrorNotification@molinahealthcare.com
FL,56503,http://www.fhcp.com/xml/cms-data-index.json,shutchin@fhcp.com
